t_Android;t_unix;x;y;z;a
437930715378777;1709137853240;-0.00503949;-0.066353284;0.011071607;3
437930717850860;1709137853240;-0.00503949;-0.066353284;0.011071607;3
437930720322943;1709137853240;-0.00503949;-0.066353284;0.011071607;3
437930722795027;1709137853240;-0.00503949;-0.066353284;0.011071607;3
437930725267162;1709137853242;-0.00503949;-0.066353284;0.011071607;3
437930727739246;1709137853255;-0.00503949;-0.066353284;0.011071607;3
437930730211329;1709137853255;-0.00503949;-0.066353284;0.011071607;3
437930732683412;1709137853255;-0.00503949;-0.066353284;0.011071607;3
437930735155548;1709137853255;-0.00503949;-0.066353284;0.011071607;3
437930737627631;1709137853255;-0.00503949;-0.066353284;0.011071607;3
437930740099714;1709137853257;-0.00503949;-0.066353284;0.011071607;3
437930742571798;1709137853260;-0.00503949;-0.066353284;0.011071607;3
437930745043933;1709137853264;-0.00503949;-0.066353284;0.011071607;3
437930747516016;1709137853268;-0.00503949;-0.066353284;0.011071607;3
437930749988100;1709137853268;-0.00503949;-0.066353284;0.011071607;3
437930752460183;1709137853269;-0.00503949;-0.066353284;0.011071607;3
437930754932318;1709137853272;-0.00503949;-0.066353284;0.011071607;3
437930757404402;1709137853274;-0.00503949;-0.066353284;0.011071607;3
437930759876485;1709137853278;-0.00503949;-0.066353284;0.011071607;3
437930762348568;1709137853279;-0.00503949;-0.066353284;0.011071607;3
437930764820704;1709137853282;-0.00503949;-0.066353284;0.011071607;3
437930767292787;1709137853284;-0.00503949;-0.066353284;0.011071607;3
437930769764871;1709137853286;-0.00503949;-0.066353284;0.011071607;3
437930772237006;1709137853289;-0.00503949;-0.066353284;0.011071607;3
437930774709089;1709137853291;-0.00503949;-0.066353284;0.011071607;3
437930777181173;1709137853294;-0.00503949;-0.066353284;0.011071607;3
437930779653256;1709137853296;-0.00503949;-0.066353284;0.011071607;3
437930782125339;1709137853300;-0.00503949;-0.066353284;0.011071607;3
437930784597475;1709137853301;-0.00503949;-0.066353284;0.011071607;3
437930787069558;1709137853304;-0.00503949;-0.066353284;0.011071607;3
437930789541641;1709137853306;-0.00503949;-0.066353284;0.011071607;3
437930792013777;1709137853308;-0.00503949;-0.066353284;0.011071607;3
437930794485860;1709137853311;-0.00503949;-0.066353284;0.011071607;3
437930796957943;1709137853313;-0.00503949;-0.066353284;0.011071607;3
437930799430027;1709137853316;-0.00503949;-0.066353284;0.011071607;3
437930801902162;1709137853318;-0.00503949;-0.066353284;0.011071607;3
437930804374246;1709137853323;-0.00503949;-0.066353284;0.011071607;3
437930806846329;1709137853323;-0.00503949;-0.066353284;0.011071607;3
437930809318412;1709137853326;-0.00503949;-0.066353284;0.011071607;3
437930811790548;1709137853328;-0.00503949;-0.066353284;0.011071607;3
437930814262631;1709137853331;-0.00503949;-0.066353284;0.011071607;3
437930816734714;1709137853333;-0.00503949;-0.066353284;0.011071607;3
437930819206798;1709137853336;-0.00503949;-0.066353284;0.011071607;3
437930821678933;1709137853338;-0.00503949;-0.066353284;0.011071607;3
437930824151016;1709137853341;-0.00503949;-0.066353284;0.011071607;3
437930826623100;1709137853343;-0.00503949;-0.066353284;0.011071607;3
437930829095183;1709137853345;-0.00503949;-0.066353284;0.011071607;3
437930831567318;1709137853348;-0.00503949;-0.066353284;0.011071607;3
437930834039402;1709137853351;-0.00503949;-0.066353284;0.011071607;3
437930836511485;1709137853353;-0.00503949;-0.066353284;0.011071607;3
437930838983621;1709137853355;-0.00503949;-0.066353284;0.011071607;3
